Município,Menor 1 ano,1 a 4 anos,5 a 9 anos,10 a 14 anos,15 a 19 anos,20 a 29 anos,30 a 39 anos,40 a 49 anos,50 a 59 anos,60 a 69 anos,70 a 79 anos,80 anos e mais,Idade ignorada,Total
150178 Breu Branco,-,-,-,-,3,8,9,1,-,-,-,-,4,25
150180 Breves,-,-,-,-,9,14,4,2,1,-,1,-,-,31
150190 Bujaru,-,-,-,-,4,5,4,3,-,2,-,-,-,18
150200 Cachoeira do Arari,-,-,-,-,-,-,-,1,-,-,-,-,-,1
150195 Cachoeira do Piriá,-,-,-,-,-,6,4,1,-,-,-,-,2,13
150210 Cametá,-,-,-,-,2,7,5,1,2,-,1,-,1,19
150215 Canaã dos Carajás,-,-,-,1,7,15,7,2,-,1,-,-,-,33
150220 Capanema,-,1,-,-,5,10,5,1,3,1,-,-,-,26
150230 Capitão Poço,-,-,-,-,1,9,5,4,2,-,-,-,-,21
150240 Castanhal,-,-,-,3,30,66,29,14,8,1,-,-,2,153
150250 Chaves,-,-,-,-,-,1,1,-,-,-,-,-,-,2
150260 Colares,-,-,-,-,-,1,1,-,-,-,-,-,-,2
150270 Conceição do Araguaia,-,-,-,-,-,1,5,2,-,-,-,-,-,8
150275 Concórdia do Pará,-,-,-,-,3,2,2,1,-,1,-,-,-,9
150276 Cumaru do Norte,-,-,-,-,1,2,1,-,-,-,-,-,-,4
150277 Curionópolis,-,-,1,1,2,5,6,-,3,-,1,-,-,19
150280 Curralinho,-,-,-,-,-,-,1,-,-,-,-,-,-,1
150285 Curuá,-,-,-,-,-,-,-,1,-,-,-,-,-,1
150290 Curuçá,-,-,-,-,1,10,7,2,1,1,-,-,-,22
150293 Dom Eliseu,-,-,-,-,7,5,6,2,-,-,-,-,2,22
150295 Eldorado do Carajás,-,-,-,-,5,5,1,2,5,1,1,-,1,21
150304 Floresta do Araguaia,-,-,-,-,-,3,3,-,-,-,-,-,-,6
150307 Garrafão do Norte,-,-,-,-,2,5,5,6,-,-,-,-,1,19
150309 Goianésia do Pará,-,-,-,1,1,4,5,2,-,1,-,-,2,16
150310 Gurupá,-,-,-,-,-,1,-,1,-,-,-,-,-,2
150320 Igarapé-Açu,-,-,-,-,-,4,1,1,-,-,-,-,1,7
150330 Igarapé-Miri,-,-,-,-,6,13,9,4,1,1,1,-,1,36
